prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,sweater,54,15,0.000019117418856025483,6,5
exp1,sweater,54,12,0.00001662612858872971,6,5
exp1,sweater,54,9,0.000014714256529460543,6,5
exp1,sweater,54,6,0.000013453129493791717,6,5
exp1,sweater,54,3,0.000012702628593070878,6,5
exp1,sweater,54,0,0.000012181187514203127,6,5
exp1,sweater,15,12,0.00001602710756588369,6,5
exp1,sweater,15,9,0.000014184118142183224,6,5
exp1,sweater,15,6,0.000012968428118673433,6,5
exp1,sweater,15,3,0.000012244966935274528,6,5
exp1,sweater,15,0,0.000011742312801710925,6,5
exp1,sweater,57,54,0.000328609924431908,6,5
exp1,sweater,57,51,0.0002576674364956942,6,5
exp1,sweater,57,48,0.00020022826201133325,6,5
exp1,sweater,57,45,0.00015458501786464704,6,5
exp1,sweater,57,42,0.00012037302040755899,6,5
exp1,sweater,57,39,0.00009383787086974717,6,5
exp1,sweater,57,36,0.00007317520538696608,6,5
exp1,sweater,57,33,0.00005749557480747972,6,5
exp1,sweater,57,30,0.00004579037634227038,6,5
exp1,sweater,57,27,0.00003686561313352922,6,5
exp1,sweater,57,24,0.00003029572253082033,6,5
exp1,sweater,57,21,0.000025245763259994517,6,5
exp1,sweater,57,18,0.000021308474481039382,6,5
exp1,sweater,57,15,0.00001824579790002592,6,5
exp1,sweater,57,12,0.00001586809309219013,6,5
exp1,sweater,57,9,0.000014043389063532269,6,5
exp1,sweater,57,6,0.000012839760624339416,6,5
exp1,sweater,57,3,0.000012123477329954089,6,5
