"","price","object"
"392",29.99,"sweater"
"393",32.99,"sweater"
"394",35.99,"sweater"
"395",15,"sweater"
"396",34.99,"sweater"
"397",45,"sweater"
"398",10.99,"sweater"
"399",15,"sweater"
"400",45.99,"sweater"
"401",18,"sweater"
"402",17.99,"sweater"
"403",45,"sweater"
"404",30.5,"sweater"
"405",50,"sweater"
"406",29,"sweater"
"407",49.98,"sweater"
"408",19.99,"sweater"
"409",24.99,"sweater"
"410",40,"sweater"
"411",50,"sweater"
"412",49.99,"sweater"
"413",20,"sweater"
"414",20,"sweater"
"415",20,"sweater"
"416",24.99,"sweater"
"417",19.99,"sweater"
"418",30.99,"sweater"
"419",12,"sweater"
"420",18.47,"sweater"
"421",45,"sweater"
"422",19.99,"sweater"
"423",40,"sweater"
"424",19.95,"sweater"
"425",17.5,"sweater"
"426",34.99,"sweater"
"427",39.5,"sweater"
"428",34.99,"sweater"
"429",19.99,"sweater"
"430",15,"sweater"
"431",35,"sweater"
"432",20.99,"sweater"
"433",45,"sweater"
"434",35.99,"sweater"
"435",29.99,"sweater"
"436",30.99,"sweater"
"437",30,"sweater"
"438",34.99,"sweater"
"439",30,"sweater"
"440",25,"sweater"
"441",45,"sweater"
"442",50,"sweater"
"443",40,"sweater"
"444",25.99,"sweater"
"445",25.99,"sweater"
"446",59.99,"sweater"
"447",35.66,"sweater"
"448",10,"sweater"
"449",14.99,"sweater"
"450",40.99,"sweater"
"451",38.99,"sweater"
"452",40,"sweater"
"453",49.99,"sweater"
"454",25,"sweater"
"455",40,"sweater"
"456",39.99,"sweater"
"457",15,"sweater"
"458",20,"sweater"
"459",19.99,"sweater"
"460",30,"sweater"
"461",25,"sweater"
"462",20,"sweater"
"463",39.99,"sweater"
"464",25,"sweater"
"465",45.99,"sweater"
"466",29.99,"sweater"
"467",29.99,"sweater"
"468",35,"sweater"
"469",14.99,"sweater"
"470",45,"sweater"
"471",20.99,"sweater"
"472",14.99,"sweater"
"473",24.99,"sweater"
"474",35,"sweater"
"475",25,"sweater"
"476",20,"sweater"
"477",35,"sweater"
"478",10.5,"sweater"
"479",40,"sweater"
"480",15.95,"sweater"
"481",29.99,"sweater"
"482",38,"sweater"
"483",29.98,"sweater"
"484",19.99,"sweater"
"485",12.99,"sweater"
"486",50,"sweater"
